__time,terminal,flight,arrivals,departures
2007-03-31T23:00:00.000Z,Terminal 7,International,30384,33288
2007-03-31T23:00:00.000Z,Terminal 8,Domestic,124222,120423
2007-03-31T23:00:00.000Z,Terminal 8,International,3500,3313
2007-03-31T23:00:00.000Z,Tom Bradley International Terminal,International,425300,335154
2007-04-30T23:00:00.000Z,Imperial Terminal,Domestic,42,0
2007-04-30T23:00:00.000Z,Imperial Terminal,International,0,21
2007-04-30T23:00:00.000Z,Misc. Terminal,Domestic,50,53
2007-04-30T23:00:00.000Z,Terminal 1,Domestic,441650,433354
2007-04-30T23:00:00.000Z,Terminal 1,International,0,321
2007-04-30T23:00:00.000Z,Terminal 2,Domestic,104777,106210
2007-04-30T23:00:00.000Z,Terminal 2,International,142049,159024
2007-04-30T23:00:00.000Z,Terminal 3,Domestic,174984,181092
2007-04-30T23:00:00.000Z,Terminal 3,International,23169,62716
2007-04-30T23:00:00.000Z,Terminal 4,Domestic,420116,413905
2007-04-30T23:00:00.000Z,Terminal 4,International,55796,51090
2007-04-30T23:00:00.000Z,Terminal 5,Domestic,163872,162790
2007-04-30T23:00:00.000Z,Terminal 5,International,28338,39373
2007-04-30T23:00:00.000Z,Terminal 6,Domestic,226762,221291
2007-04-30T23:00:00.000Z,Terminal 6,International,193,3590
2007-04-30T23:00:00.000Z,Terminal 7,Domestic,269849,275410
2007-04-30T23:00:00.000Z,Terminal 7,International,27777,34494
2007-04-30T23:00:00.000Z,Terminal 8,Domestic,123139,117072
2007-04-30T23:00:00.000Z,Terminal 8,International,3650,3751
2007-04-30T23:00:00.000Z,Tom Bradley International Terminal,International,412890,372269
2007-05-31T23:00:00.000Z,Imperial Terminal,Domestic,154,0
2007-05-31T23:00:00.000Z,Misc. Terminal,Domestic,8,5
2007-05-31T23:00:00.000Z,Misc. Terminal,International,5,0
2007-05-31T23:00:00.000Z,Terminal 1,Domestic,471758,472675
2007-05-31T23:00:00.000Z,Terminal 1,International,0,401
2007-05-31T23:00:00.000Z,Terminal 2,Domestic,109858,114926
2007-05-31T23:00:00.000Z,Terminal 2,International,151593,177357
2007-05-31T23:00:00.000Z,Terminal 3,Domestic,208173,209930
2007-05-31T23:00:00.000Z,Terminal 3,International,20663,58056
2007-05-31T23:00:00.000Z,Terminal 4,Domestic,435530,437459
2007-05-31T23:00:00.000Z,Terminal 4,International,59844,55176
2007-05-31T23:00:00.000Z,Terminal 5,Domestic,194037,198178
2007-05-31T23:00:00.000Z,Terminal 5,International,33732,50790
2007-05-31T23:00:00.000Z,Terminal 6,Domestic,241311,242878
2007-05-31T23:00:00.000Z,Terminal 6,International,1659,4494
2007-05-31T23:00:00.000Z,Terminal 7,Domestic,261849,276619
2007-05-31T23:00:00.000Z,Terminal 7,International,27450,40736
2007-05-31T23:00:00.000Z,Terminal 8,Domestic,117497,116453
2007-05-31T23:00:00.000Z,Terminal 8,International,2882,3078
2007-05-31T23:00:00.000Z,Tom Bradley International Terminal,International,428534,400715
2007-06-30T23:00:00.000Z,Imperial Terminal,Domestic,120,234
2007-06-30T23:00:00.000Z,Misc. Terminal,Domestic,14,13
2007-06-30T23:00:00.000Z,Misc. Terminal,International,2,0
2007-06-30T23:00:00.000Z,Terminal 1,Domestic,479459,480495
2007-06-30T23:00:00.000Z,Terminal 1,International,0,333
2007-06-30T23:00:00.000Z,Terminal 2,Domestic,120476,121631
2007-06-30T23:00:00.000Z,Terminal 2,International,181925,192851
2007-06-30T23:00:00.000Z,Terminal 3,Domestic,228149,232281
2007-06-30T23:00:00.000Z,Terminal 3,International,24401,65351
2007-06-30T23:00:00.000Z,Terminal 4,Domestic,460896,455875
2007-06-30T23:00:00.000Z,Terminal 4,International,62076,55535
2007-06-30T23:00:00.000Z,Terminal 5,Domestic,238415,243381
2007-06-30T23:00:00.000Z,Terminal 5,International,49246,61206
2007-06-30T23:00:00.000Z,Terminal 6,Domestic,266055,256200
